,sample index,Time_Stamps,audio_file_name,image_file_name,class_name,class_name_v2,Layer number,Sample number,class_name_v3,X,Y,Z,Vx,Vy,Vz,Speed
1470,1471,58.800000000000004,sample_21_1471.wav,sample_21_1471.jpg,,,15.0,21,Laser defocus,5.822,0.008,5.168,-24.81,-0.024,-0.553,24.816
1471,1472,58.84,sample_21_1472.wav,sample_21_1472.jpg,,,15.0,21,Laser defocus,4.805,0.016,5.156,-25.151,0.477,-0.352,25.158
1472,1473,58.88,sample_21_1473.wav,sample_21_1473.jpg,,,15.0,21,Laser defocus,3.799,0.019,5.162,-25.849,0.598,0.208,25.856
1473,1474,58.92,sample_21_1474.wav,sample_21_1474.jpg,,,15.0,21,Laser defocus,2.803,0.016,5.176,-24.299,-0.098,0.049,24.299
1474,1475,58.96,sample_21_1475.wav,sample_21_1475.jpg,,,15.0,21,Laser defocus,1.8,0.015,5.167,-25.969,0.336,-0.929,25.988
1475,1476,59.0,sample_21_1476.wav,sample_21_1476.jpg,,,15.0,21,Laser defocus,0.967,0.045,5.148,-19.377,-0.253,0.38,19.382
1476,1477,59.04,sample_21_1477.wav,sample_21_1477.jpg,,,15.0,21,Laser defocus,0.383,0.053,5.145,-11.449,0.543,-0.691,11.483
1477,1478,59.08,sample_21_1478.wav,sample_21_1478.jpg,,,15.0,21,Laser defocus,0.128,0.039,5.177,-2.503,-0.651,1.352,2.918
1478,1479,59.120000000000005,sample_21_1479.wav,sample_21_1479.jpg,,,15.0,21,Laser defocus,0.067,-0.025,5.228,-0.425,-0.325,0.025,0.536
1479,1480,59.160000000000004,sample_21_1480.wav,sample_21_1480.jpg,,,15.0,21,Laser defocus,0.055,-0.021,5.221,-0.293,0.098,-0.146,0.342
1480,1481,59.2,sample_21_1481.wav,sample_21_1481.jpg,,,15.0,21,Laser defocus,0.051,-0.03,5.294,-0.731,0.68,-1.108,1.492
1481,1482,59.24,sample_21_1482.wav,sample_21_1482.jpg,,,15.0,21,Laser defocus,0.049,-0.031,5.384,0.0,0.025,2.706,2.706
1482,1483,59.28,sample_21_1483.wav,sample_21_1483.jpg,,,15.0,21,Laser defocus,0.05,-0.034,5.499,-0.327,0.126,2.562,2.586
1483,1484,59.32,sample_21_1484.wav,sample_21_1484.jpg,,,15.0,21,Laser defocus,0.024,-0.015,5.526,-0.482,0.33,0.101,0.593
1484,1485,59.36,sample_21_1485.wav,sample_21_1485.jpg,,,15.0,21,Laser defocus,0.023,-0.015,5.565,-0.125,0.201,-0.075,0.248
1485,1486,59.4,sample_21_1486.wav,sample_21_1486.jpg,,,15.0,21,Laser defocus,0.022,-0.007,5.562,0.315,0.654,-0.533,0.9
1486,1487,59.44,sample_21_1487.wav,sample_21_1487.jpg,,,15.0,21,Laser defocus,0.125,-0.01,5.564,5.142,-2.291,1.095,5.735
1487,1488,59.480000000000004,sample_21_1488.wav,sample_21_1488.jpg,,,15.0,21,Laser defocus,0.545,-0.123,5.64,15.029,-3.397,2.908,15.68
1488,1489,59.52,sample_21_1489.wav,sample_21_1489.jpg,,,15.0,21,Laser defocus,1.33,-0.219,5.751,23.157,-1.478,1.724,23.268
1489,1490,59.56,sample_21_1490.wav,sample_21_1490.jpg,,,15.0,21,Laser defocus,2.322,-0.249,5.787,27.311,1.119,0.153,27.334
1490,1491,59.6,sample_21_1491.wav,sample_21_1491.jpg,,,15.0,21,Laser defocus,3.393,-0.141,5.743,27.306,1.893,-0.249,27.373
1491,1492,59.64,sample_21_1492.wav,sample_21_1492.jpg,,,15.0,21,Laser defocus,4.435,-0.087,5.701,25.424,0.756,-1.461,25.477
1492,1493,59.68,sample_21_1493.wav,sample_21_1493.jpg,,,15.0,21,Laser defocus,5.422,-0.067,5.635,24.986,0.375,-1.501,25.034
1493,1494,59.72,sample_21_1494.wav,sample_21_1494.jpg,,,15.0,21,Laser defocus,6.416,-0.058,5.605,24.828,-0.025,0.126,24.828
1494,1495,59.76,sample_21_1495.wav,sample_21_1495.jpg,,,15.0,21,Laser defocus,7.403,-0.048,5.589,23.916,-0.413,0.267,23.921
1495,1496,59.800000000000004,sample_21_1496.wav,sample_21_1496.jpg,,,15.0,21,Laser defocus,8.383,-0.049,5.597,24.955,-0.587,0.358,24.964
1496,1497,59.84,sample_21_1497.wav,sample_21_1497.jpg,,,15.0,21,Laser defocus,9.38,-0.058,5.603,25.215,0.176,-0.503,25.221
1497,1498,59.88,sample_21_1498.wav,sample_21_1498.jpg,,,15.0,21,Laser defocus,10.372,-0.063,5.603,23.395,0.929,-1.613,23.469
1498,1499,59.92,sample_21_1499.wav,sample_21_1499.jpg,,,15.0,21,Laser defocus,11.365,-0.062,5.601,24.461,0.176,-0.728,24.473
1499,1500,59.96,sample_21_1500.wav,sample_21_1500.jpg,,,15.0,21,Laser defocus,12.357,-0.066,5.597,24.404,0.075,0.199,24.405
1500,1501,60.0,sample_21_1501.wav,sample_21_1501.jpg,,,15.0,21,Laser defocus,13.354,-0.076,5.612,24.57,-0.44,0.733,24.585
1501,1502,60.04,sample_21_1502.wav,sample_21_1502.jpg,,,15.0,21,,14.349,-0.076,5.608,26.38,-0.483,1.272,26.415
1502,1503,60.08,sample_21_1503.wav,sample_21_1503.jpg,,,15.0,21,,15.36,-0.078,5.606,26.219,-0.127,0.33,26.222
1503,1504,60.120000000000005,sample_21_1504.wav,sample_21_1504.jpg,,,15.0,21,,16.363,-0.072,5.599,24.893,-0.398,0.647,24.905
1504,1505,60.160000000000004,sample_21_1505.wav,sample_21_1505.jpg,,,15.0,21,,17.354,-0.066,5.606,24.597,0.126,-0.05,24.597
1505,1506,60.2,sample_21_1506.wav,sample_21_1506.jpg,,,15.0,21,,18.346,-0.072,5.602,25.461,-0.526,0.15,25.467
1506,1507,60.24,sample_21_1507.wav,sample_21_1507.jpg,Laser-off,Laser-off,,21,Laser-off,19.346,-0.062,5.585,24.917,0.22,-0.196,24.919
1507,1508,60.28,sample_21_1508.wav,sample_21_1508.jpg,Laser-off,Laser-off,,21,Laser-off,20.356,-0.053,5.586,24.849,0.965,-0.619,24.875
1508,1509,60.32,sample_21_1509.wav,sample_21_1509.jpg,Laser-off,Laser-off,,21,Laser-off,21.353,-0.047,5.597,24.671,0.025,-0.302,24.673
1509,1510,60.36,sample_21_1510.wav,sample_21_1510.jpg,Laser-off,Laser-off,,21,Laser-off,22.349,-0.047,5.6,22.998,0.702,-1.937,23.09
1510,1511,60.4,sample_21_1511.wav,sample_21_1511.jpg,Laser-off,Laser-off,,21,Laser-off,23.348,-0.054,5.595,24.935,0.502,-0.201,24.941
1511,1512,60.44,sample_21_1512.wav,sample_21_1512.jpg,Laser-off,Laser-off,,21,Laser-off,24.354,-0.05,5.587,25.007,0.949,-1.024,25.046
1512,1513,60.480000000000004,sample_21_1513.wav,sample_21_1513.jpg,,,16.0,21,,25.376,-0.044,5.592,25.212,0.048,1.403,25.251
1513,1514,60.52,sample_21_1514.wav,sample_21_1514.jpg,,,16.0,21,,26.378,-0.043,5.592,25.937,-0.667,0.667,25.954
1514,1515,60.56,sample_21_1515.wav,sample_21_1515.jpg,,,16.0,21,,27.371,-0.043,5.595,25.277,-0.501,0.626,25.29
1515,1516,60.6,sample_21_1516.wav,sample_21_1516.jpg,,,16.0,21,,28.365,-0.039,5.588,24.936,0.097,0.338,24.939
1516,1517,60.64,sample_21_1517.wav,sample_21_1517.jpg,,,16.0,21,,29.378,-0.038,5.595,25.496,0.075,0.125,25.497
1517,1518,60.68,sample_21_1518.wav,sample_21_1518.jpg,,,16.0,21,Laser defocus,30.373,-0.038,5.604,24.916,-0.474,0.3,24.922
1518,1519,60.72,sample_21_1519.wav,sample_21_1519.jpg,,,16.0,21,Laser defocus,31.359,-0.042,5.59,23.656,-0.59,-0.32,23.665
1519,1520,60.76,sample_21_1520.wav,sample_21_1520.jpg,,,16.0,21,Laser defocus,32.354,-0.045,5.583,24.764,-0.149,0.0,24.765
1520,1521,60.800000000000004,sample_21_1521.wav,sample_21_1521.jpg,,,16.0,21,Laser defocus,33.346,-0.031,5.574,25.437,0.327,0.151,25.439
1521,1522,60.84,sample_21_1522.wav,sample_21_1522.jpg,,,16.0,21,Laser defocus,34.374,-0.026,5.591,24.658,0.414,-0.316,24.664
1522,1523,60.88,sample_21_1523.wav,sample_21_1523.jpg,,,16.0,21,Laser defocus,35.378,-0.023,5.585,24.805,0.451,-0.953,24.828
1523,1524,60.92,sample_21_1524.wav,sample_21_1524.jpg,,,16.0,21,Laser defocus,36.371,-0.028,5.577,23.625,0.55,-1.15,23.66
1524,1525,60.96,sample_21_1525.wav,sample_21_1525.jpg,,,16.0,21,Laser defocus,37.365,-0.033,5.581,23.866,0.147,-0.492,23.871
1525,1526,61.0,sample_21_1526.wav,sample_21_1526.jpg,,,16.0,21,Laser defocus,38.374,-0.022,5.572,25.97,0.863,-0.279,25.986
1526,1527,61.04,sample_21_1527.wav,sample_21_1527.jpg,,,16.0,21,Laser defocus,39.389,-0.017,5.575,24.623,0.147,0.171,24.624
1527,1528,61.08,sample_21_1528.wav,sample_21_1528.jpg,,,16.0,21,Laser defocus,40.372,-0.015,5.557,24.493,-0.61,0.977,24.52
1528,1529,61.120000000000005,sample_21_1529.wav,sample_21_1529.jpg,,,16.0,21,Laser defocus,41.366,-0.02,5.567,25.432,-0.785,0.684,25.454
1529,1530,61.160000000000004,sample_21_1530.wav,sample_21_1530.jpg,,,16.0,21,Laser defocus,42.357,-0.019,5.571,25.442,-0.553,1.08,25.471
1530,1531,61.2,sample_21_1531.wav,sample_21_1531.jpg,,,16.0,21,Laser defocus,43.36,-0.013,5.569,24.468,0.146,-0.657,24.477
1531,1532,61.24,sample_21_1532.wav,sample_21_1532.jpg,,,16.0,21,Laser defocus,44.375,-0.009,5.564,25.738,-0.125,0.075,25.738
1532,1533,61.28,sample_21_1533.wav,sample_21_1533.jpg,,,16.0,21,Laser defocus,45.375,-0.011,5.561,24.78,-0.198,0.0,24.781
1533,1534,61.32,sample_21_1534.wav,sample_21_1534.jpg,,,16.0,21,Laser defocus,46.375,-0.019,5.573,24.48,-0.369,0.27,24.484
1534,1535,61.36,sample_21_1535.wav,sample_21_1535.jpg,,,16.0,21,Laser defocus,47.368,-0.012,5.564,25.241,0.15,-0.15,25.242
1535,1536,61.4,sample_21_1536.wav,sample_21_1536.jpg,,,16.0,21,Laser defocus,48.375,-0.009,5.558,25.21,0.202,-0.202,25.211
1536,1537,61.44,sample_21_1537.wav,sample_21_1537.jpg,,,16.0,21,Laser defocus,49.377,-0.012,5.564,25.52,-0.395,1.309,25.556
1537,1538,61.480000000000004,sample_21_1538.wav,sample_21_1538.jpg,,,16.0,21,Laser defocus,50.365,-0.014,5.568,24.358,0.273,-0.695,24.37
1538,1539,61.52,sample_21_1539.wav,sample_21_1539.jpg,,,16.0,21,Laser defocus,51.372,-0.015,5.563,24.422,0.275,-0.525,24.43
1539,1540,61.56,sample_21_1540.wav,sample_21_1540.jpg,,,16.0,21,Laser defocus,52.368,-0.004,5.551,24.005,0.417,-0.932,24.026
1540,1541,61.6,sample_21_1541.wav,sample_21_1541.jpg,,,16.0,21,Laser defocus,53.376,-0.003,5.566,23.94,0.609,-0.195,23.948
1541,1542,61.64,sample_21_1542.wav,sample_21_1542.jpg,,,16.0,21,Laser defocus,54.388,-0.009,5.579,24.943,0.524,-0.449,24.952
1542,1543,61.68,sample_21_1543.wav,sample_21_1543.jpg,,,16.0,21,Laser defocus,55.386,-0.015,5.574,23.972,0.292,-0.706,23.984
1543,1544,61.72,sample_21_1544.wav,sample_21_1544.jpg,,,16.0,21,Laser defocus,56.383,-0.015,5.573,24.981,0.076,0.076,24.982
1544,1545,61.76,sample_21_1545.wav,sample_21_1545.jpg,,,16.0,21,Laser defocus,57.389,-0.008,5.569,25.653,-0.15,0.675,25.663
1545,1546,61.800000000000004,sample_21_1546.wav,sample_21_1546.jpg,Crack,Defective,16.0,21,Laser defocus,58.403,-0.008,5.577,25.436,-0.149,0.199,25.437
1546,1547,61.84,sample_21_1547.wav,sample_21_1547.jpg,Crack,Defective,16.0,21,Laser defocus,59.384,-0.008,5.56,25.191,-0.399,-0.05,25.194
1547,1548,61.88,sample_21_1548.wav,sample_21_1548.jpg,Crack,Defective,16.0,21,Laser defocus,60.373,-0.014,5.56,25.674,-0.153,0.636,25.683
1548,1549,61.92,sample_21_1549.wav,sample_21_1549.jpg,,,16.0,21,Laser defocus,61.374,-0.005,5.559,24.314,-0.143,0.024,24.315
1549,1550,61.96,sample_21_1550.wav,sample_21_1550.jpg,,,16.0,21,Laser defocus,62.378,0.0,5.569,25.584,-0.606,0.706,25.601
1550,1551,62.0,sample_21_1551.wav,sample_21_1551.jpg,,,16.0,21,Laser defocus,63.375,0.001,5.562,24.877,-0.175,-0.325,24.879
1551,1552,62.04,sample_21_1552.wav,sample_21_1552.jpg,,,16.0,21,Laser defocus,64.38,-0.002,5.552,25.398,0.0,0.173,25.398
1552,1553,62.08,sample_21_1553.wav,sample_21_1553.jpg,,,16.0,21,Laser defocus,65.379,-0.003,5.556,24.88,0.4,0.225,24.884
1553,1554,62.120000000000005,sample_21_1554.wav,sample_21_1554.jpg,,,16.0,21,Laser defocus,66.38,0.005,5.564,25.512,0.226,0.503,25.517
1554,1555,62.160000000000004,sample_21_1555.wav,sample_21_1555.jpg,,,16.0,21,Laser defocus,67.386,0.004,5.568,24.869,-0.59,0.91,24.893
1555,1556,62.2,sample_21_1556.wav,sample_21_1556.jpg,,,16.0,21,Laser defocus,68.392,-0.004,5.568,25.087,-0.662,0.433,25.099
1556,1557,62.24,sample_21_1557.wav,sample_21_1557.jpg,,,16.0,21,Laser defocus,69.379,-0.009,5.567,25.07,0.075,0.1,25.07
1557,1558,62.28,sample_21_1558.wav,sample_21_1558.jpg,Crack,Defective,16.0,21,Laser defocus,70.375,-0.002,5.559,25.001,0.245,0.269,25.003
1558,1559,62.32,sample_21_1559.wav,sample_21_1559.jpg,,,16.0,21,Laser defocus,71.388,0.009,5.556,26.087,0.454,0.025,26.091
1559,1560,62.36,sample_21_1560.wav,sample_21_1560.jpg,,,16.0,21,Laser defocus,72.383,0.006,5.547,24.917,-0.15,0.301,24.919
1560,1561,62.4,sample_21_1561.wav,sample_21_1561.jpg,,,16.0,21,Laser defocus,73.373,-0.005,5.558,24.228,-0.369,0.0,24.231
1561,1562,62.440000000000005,sample_21_1562.wav,sample_21_1562.jpg,,,16.0,21,Laser defocus,74.361,-0.009,5.563,24.842,-0.149,-0.324,24.845
1562,1563,62.480000000000004,sample_21_1563.wav,sample_21_1563.jpg,,,16.0,21,Laser defocus,75.364,-0.005,5.566,24.702,0.839,-1.22,24.747
1563,1564,62.52,sample_21_1564.wav,sample_21_1564.jpg,,,16.0,21,Laser defocus,76.372,0.006,5.552,24.636,0.538,-1.173,24.67
1564,1565,62.56,sample_21_1565.wav,sample_21_1565.jpg,,,16.0,21,Laser defocus,77.379,0.003,5.559,24.848,0.301,-0.301,24.852
1565,1566,62.6,sample_21_1566.wav,sample_21_1566.jpg,,,16.0,21,Laser defocus,78.39,-0.007,5.575,24.619,0.428,-0.58,24.63
1566,1567,62.64,sample_21_1567.wav,sample_21_1567.jpg,,,16.0,21,Laser defocus,79.38,-0.01,5.575,23.209,0.461,-1.479,23.26
1567,1568,62.68,sample_21_1568.wav,sample_21_1568.jpg,,,16.0,21,Laser defocus,80.367,-0.004,5.561,20.733,0.414,-1.198,20.772
1568,1569,62.72,sample_21_1569.wav,sample_21_1569.jpg,,,16.0,21,Laser defocus,81.379,-0.003,5.573,24.73,0.832,-0.58,24.751
1569,1570,62.76,sample_21_1570.wav,sample_21_1570.jpg,,,16.0,21,Laser defocus,82.385,-0.01,5.583,24.44,0.272,-0.643,24.45
1570,1571,62.800000000000004,sample_21_1571.wav,sample_21_1571.jpg,,,16.0,21,Laser defocus,83.379,-0.009,5.584,24.558,0.277,-0.352,24.562
1571,1572,62.84,sample_21_1572.wav,sample_21_1572.jpg,,,16.0,21,Laser defocus,84.37,-0.005,5.564,23.709,0.459,-0.677,23.723
1572,1573,62.88,sample_21_1573.wav,sample_21_1573.jpg,,,16.0,21,Laser defocus,85.378,-0.003,5.564,24.141,-0.123,-0.245,24.143
1573,1574,62.92,sample_21_1574.wav,sample_21_1574.jpg,,,16.0,21,Laser defocus,86.387,-0.003,5.583,24.936,-0.25,0.701,24.947
1574,1575,62.96,sample_21_1575.wav,sample_21_1575.jpg,,,16.0,21,Laser defocus,87.388,-0.009,5.578,26.045,0.026,-0.181,26.045
1575,1576,63.0,sample_21_1576.wav,sample_21_1576.jpg,,,16.0,21,Laser defocus,88.376,-0.017,5.579,22.714,-1.235,1.598,22.803
1576,1577,63.04,sample_21_1577.wav,sample_21_1577.jpg,,,16.0,21,Laser defocus,89.168,-0.047,5.583,17.673,-0.249,0.696,17.688
1577,1578,63.08,sample_21_1578.wav,sample_21_1578.jpg,,,16.0,21,Laser defocus,89.677,-0.037,5.578,8.897,0.153,-0.637,8.921
1578,1579,63.120000000000005,sample_21_1579.wav,sample_21_1579.jpg,,,16.0,21,Laser defocus,89.885,-0.026,5.557,2.256,0.564,-0.613,2.405
1579,1580,63.160000000000004,sample_21_1580.wav,sample_21_1580.jpg,,,16.0,21,Laser defocus,89.933,0.031,5.511,0.175,0.0,0.175,0.248
1580,1581,63.2,sample_21_1581.wav,sample_21_1581.jpg,,,16.0,21,Laser defocus,89.944,0.031,5.519,0.427,0.0,0.703,0.822
1581,1582,63.24,sample_21_1582.wav,sample_21_1582.jpg,,,16.0,21,Laser defocus,89.961,0.025,5.558,-0.122,0.171,0.244,0.322
1582,1583,63.28,sample_21_1583.wav,sample_21_1583.jpg,Crack,Defective,16.0,21,Laser defocus,89.956,0.03,5.615,0.0,0.153,1.816,1.823
1583,1584,63.32,sample_21_1584.wav,sample_21_1584.jpg,,,16.0,21,Laser defocus,89.958,0.03,5.708,0.0,0.099,2.67,2.672
1584,1585,63.36,sample_21_1585.wav,sample_21_1585.jpg,,,16.0,21,Laser defocus,89.954,0.032,5.763,0.904,-0.66,3.958,4.113
1585,1586,63.4,sample_21_1586.wav,sample_21_1586.jpg,,,16.0,21,Laser defocus,89.967,0.022,5.831,0.05,-0.101,0.779,0.787
1586,1587,63.440000000000005,sample_21_1587.wav,sample_21_1587.jpg,,,16.0,21,Laser defocus,89.973,0.01,5.895,0.483,-0.94,4.929,5.041
1587,1588,63.480000000000004,sample_21_1588.wav,sample_21_1588.jpg,,,16.0,21,Laser defocus,89.835,0.021,6.067,-8.795,1.274,2.299,9.179
1588,1589,63.52,sample_21_1589.wav,sample_21_1589.jpg,,,16.0,21,Laser defocus,89.337,0.167,6.062,-17.43,3.784,-1.312,17.884
1589,1590,63.56,sample_21_1590.wav,sample_21_1590.jpg,,,16.0,21,Laser defocus,88.5,0.277,6.01,-22.489,3.539,-2.51,22.903
1590,1591,63.6,sample_21_1591.wav,sample_21_1591.jpg,,,16.0,21,Laser defocus,87.475,0.282,5.973,-27.043,-2.221,-0.074,27.134
1591,1592,63.64,sample_21_1592.wav,sample_21_1592.jpg,,,16.0,21,Laser defocus,86.395,0.166,5.974,-27.511,-2.305,-0.41,27.611
1592,1593,63.68,sample_21_1593.wav,sample_21_1593.jpg,Crack,Defective,16.0,21,Laser defocus,85.359,0.106,5.982,-26.634,-0.803,0.363,26.648
1593,1594,63.72,sample_21_1594.wav,sample_21_1594.jpg,,,16.0,21,Laser defocus,84.36,0.082,5.981,-24.223,-0.073,-0.147,24.223
1594,1595,63.76,sample_21_1595.wav,sample_21_1595.jpg,,,16.0,21,Laser defocus,83.354,0.071,5.959,-24.961,0.075,-0.623,24.969
1595,1596,63.800000000000004,sample_21_1596.wav,sample_21_1596.jpg,,,16.0,21,Laser defocus,82.367,0.06,5.955,-24.467,-0.025,0.525,24.472
1596,1597,63.84,sample_21_1597.wav,sample_21_1597.jpg,,,16.0,21,Laser defocus,81.39,0.057,5.961,-23.858,0.196,0.073,23.859
1597,1598,63.88,sample_21_1598.wav,sample_21_1598.jpg,,,16.0,21,Laser defocus,80.401,0.064,5.956,-25.646,-0.051,-0.356,25.648
1598,1599,63.92,sample_21_1599.wav,sample_21_1599.jpg,,,16.0,21,Laser defocus,79.402,0.073,5.938,-24.922,0.126,-0.05,24.923
1599,1600,63.96,sample_21_1600.wav,sample_21_1600.jpg,,,16.0,21,Laser defocus,78.416,0.068,5.939,-23.982,0.247,0.0,23.983
1600,1601,64.0,sample_21_1601.wav,sample_21_1601.jpg,,,16.0,21,Laser defocus,77.428,0.062,5.958,-24.585,0.347,0.074,24.587
1601,1602,64.04,sample_21_1602.wav,sample_21_1602.jpg,,,16.0,21,Laser defocus,76.412,0.062,5.953,-25.408,0.429,-0.605,25.419
1602,1603,64.08,sample_21_1603.wav,sample_21_1603.jpg,,,16.0,21,Laser defocus,75.405,0.062,5.946,-25.596,0.1,-0.699,25.606
1603,1604,64.12,sample_21_1604.wav,sample_21_1604.jpg,Crack,Defective,16.0,21,Laser defocus,74.415,0.06,5.952,-25.613,-0.508,0.254,25.619
1604,1605,64.16,sample_21_1605.wav,sample_21_1605.jpg,Crack,Defective,16.0,21,Laser defocus,73.413,0.051,5.954,-25.633,0.0,-1.03,25.654
1605,1606,64.2,sample_21_1606.wav,sample_21_1606.jpg,,,16.0,21,,72.417,0.044,5.952,-24.983,0.342,-1.075,25.008
1606,1607,64.24,sample_21_1607.wav,sample_21_1607.jpg,,,16.0,21,,71.418,0.047,5.933,-24.624,0.672,-0.448,24.637
1607,1608,64.28,sample_21_1608.wav,sample_21_1608.jpg,Laser-off,Laser-off,,21,,70.42,0.061,5.933,-25.04,0.625,-0.475,25.053
1608,1609,64.32000000000001,sample_21_1609.wav,sample_21_1609.jpg,Laser-off,Laser-off,,21,Laser-off,69.43,0.064,5.944,-24.544,0.124,0.395,24.548
1609,1610,64.36,sample_21_1610.wav,sample_21_1610.jpg,Laser-off,Laser-off,,21,Laser-off,68.435,0.055,5.946,-25.235,-1.003,0.025,25.255
1610,1611,64.4,sample_21_1611.wav,sample_21_1611.jpg,Laser-off,Laser-off,,21,Laser-off,67.426,0.051,5.937,-25.457,-0.426,0.276,25.462
1611,1612,64.44,sample_21_1612.wav,sample_21_1612.jpg,Laser-off,Laser-off,,21,Laser-off,66.416,0.057,5.931,-23.81,0.121,0.631,23.819
1612,1613,64.48,sample_21_1613.wav,sample_21_1613.jpg,Laser-off,Laser-off,,21,,65.423,0.066,5.934,-24.248,-0.252,0.832,24.264
1613,1614,64.52,sample_21_1614.wav,sample_21_1614.jpg,,,17.0,21,,64.435,0.069,5.94,-24.255,-0.302,0.755,24.269
1614,1615,64.56,sample_21_1615.wav,sample_21_1615.jpg,,,17.0,21,,63.423,0.064,5.931,-24.603,-0.592,0.493,24.615
1615,1616,64.6,sample_21_1616.wav,sample_21_1616.jpg,,,17.0,21,Laser defocus,62.418,0.064,5.939,-24.903,-0.505,0.707,24.918
1616,1617,64.64,sample_21_1617.wav,sample_21_1617.jpg,,,17.0,21,Laser defocus,61.422,0.067,5.94,-24.344,-0.1,0.451,24.348
1617,1618,64.68,sample_21_1618.wav,sample_21_1618.jpg,,,17.0,21,Laser defocus,60.427,0.071,5.941,-25.183,0.301,-0.251,25.186
1618,1619,64.72,sample_21_1619.wav,sample_21_1619.jpg,,,17.0,21,Laser defocus,59.428,0.065,5.931,-25.14,0.176,-0.428,25.144
1619,1620,64.76,sample_21_1620.wav,sample_21_1620.jpg,,,17.0,21,Laser defocus,58.423,0.056,5.928,-25.32,-0.447,-0.099,25.324
1620,1621,64.8,sample_21_1621.wav,sample_21_1621.jpg,,,17.0,21,Laser defocus,57.425,0.051,5.938,-25.402,-0.171,0.024,25.403
1621,1622,64.84,sample_21_1622.wav,sample_21_1622.jpg,,,17.0,21,Laser defocus,56.421,0.053,5.949,-25.068,0.174,-0.025,25.069
1622,1623,64.88,sample_21_1623.wav,sample_21_1623.jpg,,,17.0,21,Laser defocus,55.417,0.052,5.948,-25.651,0.076,-0.381,25.654
1623,1624,64.92,sample_21_1624.wav,sample_21_1624.jpg,,,17.0,21,Laser defocus,54.417,0.036,5.957,-24.278,0.294,0.0,24.28
1624,1625,64.96000000000001,sample_21_1625.wav,sample_21_1625.jpg,,,17.0,21,Laser defocus,53.405,0.027,5.96,-25.281,-0.101,-0.276,25.283
1625,1626,65.0,sample_21_1626.wav,sample_21_1626.jpg,,,17.0,21,Laser defocus,52.408,0.028,5.97,-25.357,0.202,0.05,25.358
1626,1627,65.04,sample_21_1627.wav,sample_21_1627.jpg,,,17.0,21,Laser defocus,51.413,0.031,5.966,-23.722,0.095,-0.78,23.735
1627,1628,65.08,sample_21_1628.wav,sample_21_1628.jpg,,,17.0,21,Laser defocus,50.418,0.025,5.967,-25.212,0.252,-0.327,25.215
1628,1629,65.12,sample_21_1629.wav,sample_21_1629.jpg,,,17.0,21,Laser defocus,49.416,0.019,5.975,-25.58,0.354,-0.455,25.586
1629,1630,65.16,sample_21_1630.wav,sample_21_1630.jpg,,,17.0,21,Laser defocus,48.417,0.015,5.976,-24.83,0.049,-0.196,24.83
1630,1631,65.2,sample_21_1631.wav,sample_21_1631.jpg,,,17.0,21,Laser defocus,47.418,0.022,5.972,-25.766,0.331,-0.432,25.772
1631,1632,65.24,sample_21_1632.wav,sample_21_1632.jpg,,,17.0,21,Laser defocus,46.41,0.029,5.961,-24.675,-0.322,0.644,24.686
1632,1633,65.28,sample_21_1633.wav,sample_21_1633.jpg,,,17.0,21,Laser defocus,45.416,0.024,5.965,-24.231,-0.726,0.871,24.257
1633,1634,65.32000000000001,sample_21_1634.wav,sample_21_1634.jpg,,,17.0,21,Laser defocus,44.41,0.018,5.967,-24.172,-0.276,0.903,24.191
1634,1635,65.36,sample_21_1635.wav,sample_21_1635.jpg,,,17.0,21,Laser defocus,43.396,0.019,5.959,-24.697,-0.025,0.477,24.702
1635,1636,65.4,sample_21_1636.wav,sample_21_1636.jpg,,,17.0,21,Laser defocus,42.395,0.022,5.959,-24.18,0.098,-0.466,24.185
1636,1637,65.44,sample_21_1637.wav,sample_21_1637.jpg,,,17.0,21,Laser defocus,41.391,0.023,5.954,-25.107,-0.453,0.075,25.112
1637,1638,65.48,sample_21_1638.wav,sample_21_1638.jpg,,,17.0,21,Laser defocus,40.4,0.017,5.961,-25.931,-0.177,-0.608,25.939
1638,1639,65.52,sample_21_1639.wav,sample_21_1639.jpg,,,17.0,21,Laser defocus,39.403,0.01,5.965,-24.161,0.589,0.147,24.169
1639,1640,65.56,sample_21_1640.wav,sample_21_1640.jpg,,,17.0,21,Laser defocus,38.412,0.018,5.964,-24.957,0.499,-0.673,24.971
1640,1641,65.6,sample_21_1641.wav,sample_21_1641.jpg,Crack,Defective,17.0,21,Laser defocus,37.418,0.021,5.971,-25.381,0.1,0.526,25.387
1641,1642,65.64,sample_21_1642.wav,sample_21_1642.jpg,Crack,Defective,17.0,21,Laser defocus,36.409,0.019,5.972,-25.182,-0.395,-0.296,25.186
1642,1643,65.68,sample_21_1643.wav,sample_21_1643.jpg,,,17.0,21,Laser defocus,35.409,0.011,5.976,-25.28,-0.125,-0.05,25.28
1643,1644,65.72,sample_21_1644.wav,sample_21_1644.jpg,,,17.0,21,Laser defocus,34.402,0.01,5.97,-25.01,0.874,-0.75,25.037
1644,1645,65.76,sample_21_1645.wav,sample_21_1645.jpg,,,17.0,21,Laser defocus,33.397,0.015,5.964,-24.915,0.884,-1.08,24.954
1645,1646,65.8,sample_21_1646.wav,sample_21_1646.jpg,,,17.0,21,Laser defocus,32.403,0.021,5.965,-25.145,0.276,0.025,25.147
1646,1647,65.84,sample_21_1647.wav,sample_21_1647.jpg,,,17.0,21,Laser defocus,31.503,0.017,5.959,-25.432,-0.785,0.76,25.456
